答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,状态
589,123.235.143.130,,,,,123,2015-03-23 20:19:11,2015-03-23 20:19:55,正常完成
590,107.72.162.75,,,,,64,2015-03-23 20:17:56,2015-03-23 20:20:08,正常完成
591,183.195.233.181,,,,,165,2015-03-23 20:20:38,2015-03-23 20:21:22,正常完成
592,80.215.128.113,,,,,144,2015-03-23 20:22:49,2015-03-23 20:25:14,正常完成
593,101.226.61.184,,,,,49,2015-03-23 20:29:19,2015-03-23 20:30:01,正常完成
594,172.56.35.189,,,,,57,2015-03-23 20:44:10,2015-03-23 20:45:37,正常完成
595,182.131.10.30,,,,,61,2015-03-23 21:01:14,2015-03-23 21:03:43,正常完成
596,123.234.46.54,,,,,66,2015-03-23 21:15:03,2015-03-23 21:16:48,正常完成
597,123.234.46.54,,,,,69,2015-03-23 21:17:46,2015-03-23 21:19:23,正常完成
598,123.234.46.54,,,,,61,2015-03-23 21:19:40,2015-03-23 21:20:42,正常完成
599,221.3.54.164,,,,,70,2015-03-23 21:20:06,2015-03-23 21:21:29,正常完成
600,119.165.7.114,,,,,14,2015-03-23 21:20:54,2015-03-23 21:21:45,正常完成
601,106.38.217.71,,,,,26,2015-03-23 21:23:23,2015-03-23 21:23:59,正常完成
602,60.209.52.203,,,,,64,2015-03-23 21:24:54,2015-03-23 21:26:32,正常完成
603,221.0.237.128,,,,,165,2015-03-23 21:30:25,2015-03-23 21:31:04,正常完成
604,123.151.64.142,,,,,126,2015-03-23 21:34:42,2015-03-23 21:35:48,正常完成
605,193.48.136.26,,,,,75,2015-03-23 21:37:59,2015-03-23 21:39:58,正常完成
606,183.250.211.183,,,,,127,2015-03-23 21:47:31,2015-03-23 21:49:59,正常完成
607,120.196.211.151,,,,,166,2015-03-23 21:53:47,2015-03-23 21:56:01,正常完成
608,80.215.197.177,,,,,163,2015-03-23 22:32:20,2015-03-23 22:34:19,正常完成
609,120.204.200.83,,,,,42,2015-03-23 22:37:27,2015-03-23 22:38:32,正常完成
610,99.244.182.246,,,,,72,2015-03-23 22:46:47,2015-03-23 22:49:39,正常完成
611,117.136.75.88,,,,,129,2015-03-23 23:15:20,2015-03-23 23:17:27,正常完成
612,101.226.61.190,,,,,148,2015-03-24 00:14:35,2015-03-24 00:17:28,正常完成
613,134.153.101.240,,,,,70,2015-03-24 03:45:47,2015-03-24 03:46:39,正常完成
614,142.177.216.158,,,,,23,2015-03-24 06:20:03,2015-03-24 06:20:35,正常完成
615,142.177.216.158,,,,,152,2015-03-24 06:21:17,2015-03-24 06:21:44,正常完成
616,60.209.211.245,,,,,153,2015-03-24 06:48:23,2015-03-24 06:52:30,正常完成
617,80.215.130.199,,,,,180,2015-03-24 07:21:36,2015-03-24 07:24:13,正常完成
618,90.15.14.44,,,,,73,2015-03-24 07:26:49,2015-03-24 07:28:22,正常完成
619,90.15.14.44,,,,,63,2015-03-24 07:28:34,2015-03-24 07:29:24,正常完成
620,90.15.14.44,,,,,52,2015-03-24 07:29:52,2015-03-24 07:30:38,正常完成
621,101.226.69.112,,,,,128,2015-03-24 07:42:58,2015-03-24 07:44:49,正常完成
622,111.161.57.31,,,,,186,2015-03-24 08:59:24,2015-03-24 09:01:27,正常完成
623,218.201.151.43,,,,,192,2015-03-24 11:20:38,2015-03-24 11:23:04,正常完成
624,27.210.241.62,,,,,191,2015-03-24 11:26:59,2015-03-24 11:30:32,正常完成
625,223.104.6.204,,,,,173,2015-03-24 11:34:05,2015-03-24 11:36:20,正常完成
626,218.31.55.42,,,,,179,2015-03-24 12:24:34,2015-03-24 12:28:08,正常完成
627,112.233.0.79,,,,,179,2015-03-24 15:14:43,2015-03-24 15:17:21,正常完成
628,218.75.38.123,,,,,158,2015-03-24 17:22:16,2015-03-24 17:24:52,正常完成
629,115.168.77.68,,,,,49,2015-03-24 21:22:41,2015-03-24 21:26:03,正常完成
630,101.226.125.16,,,,,174,2015-03-24 23:04:09,2015-03-24 23:06:29,正常完成
631,14.18.235.164,,,,,150,2015-03-25 00:40:49,2015-03-25 00:42:09,正常完成
632,27.223.89.14,,,,,58,2015-03-25 07:47:21,2015-03-25 07:51:15,正常完成
633,115.149.7.173,,,,,154,2015-03-25 10:00:27,2015-03-25 10:03:10,正常完成
634,115.24.223.53,,,,,58,2015-03-25 12:45:34,2015-03-25 12:47:23,正常完成
635,58.194.168.177,,,,,58,2015-03-25 20:03:04,2015-03-25 20:05:57,正常完成
636,58.194.168.177,,,,,75,2015-03-25 20:06:46,2015-03-25 20:08:55,正常完成
637,180.169.34.2,,,,,20,2015-03-26 16:28:23,2015-03-26 16:30:20,正常完成
638,180.169.34.2,,,,,55,2015-03-26 16:31:10,2015-03-26 16:32:48,正常完成
639,180.169.34.2,,,,,61,2015-03-26 16:32:59,2015-03-26 16:33:42,正常完成
640,180.169.34.2,,,,,73,2015-03-26 16:32:41,2015-03-26 16:34:23,正常完成
641,60.209.210.139,,,,,153,2015-03-26 16:49:41,2015-03-26 16:51:59,正常完成
642,101.226.125.17,,,,,181,2015-03-26 21:20:53,2015-03-26 21:22:40,正常完成
643,211.137.199.3,,,,,157,2015-03-27 06:31:10,2015-03-27 06:47:24,正常完成
644,60.28.159.169,,,,,41,2015-03-27 07:05:41,2015-03-27 07:07:49,正常完成
645,106.120.232.231,,,,,32,2015-03-27 13:41:17,2015-03-27 13:42:02,正常完成
646,142.177.216.158,,,,,187,2015-03-27 19:48:08,2015-03-27 19:48:54,正常完成
647,142.177.216.158,,,,,146,2015-03-27 20:29:58,2015-03-27 20:31:45,正常完成
648,142.177.216.158,,,,,30,2015-03-27 20:47:25,2015-03-27 20:48:11,正常完成
649,142.177.216.158,,,,,193,2015-03-27 20:49:12,2015-03-27 20:50:00,正常完成
650,142.177.216.158,,,,,71,2015-03-27 20:51:48,2015-03-27 20:52:36,正常完成
651,142.177.216.158,,,,,90,2015-03-27 20:52:53,2015-03-27 20:54:12,正常完成
652,142.177.216.158,,,,,44,2015-03-27 20:54:45,2015-03-27 20:55:27,正常完成
653,118.211.50.231,,,,,145,2015-03-27 21:05:31,2015-03-27 21:06:46,正常完成
654,123.235.232.193,,,,,138,2015-03-27 21:06:58,2015-03-27 21:07:44,正常完成
655,118.211.50.231,,,,,145,2015-03-27 21:07:42,2015-03-27 21:08:15,正常完成
656,222.186.218.130,,,,,152,2015-03-27 21:07:02,2015-03-27 21:08:32,正常完成
657,14.203.0.218,,,,,44,2015-03-27 21:08:00,2015-03-27 21:09:05,正常完成
658,153.0.1.13,,,,,93,2015-03-27 21:09:29,2015-03-27 21:10:33,正常完成
659,14.203.46.49,,,,,149,2015-03-27 21:13:52,2015-03-27 21:15:02,正常完成
660,123.151.42.49,,,,,136,2015-03-27 21:10:46,2015-03-27 21:15:45,正常完成
661,60.240.180.96,,,,,188,2015-03-27 21:11:12,2015-03-27 21:37:13,正常完成
662,134.153.61.162,,,,,193,2015-03-27 21:36:26,2015-03-27 21:37:45,正常完成
663,43.250.200.7,,,,,141,2015-03-27 21:37:57,2015-03-27 21:39:36,正常完成
664,140.246.89.229,,,,,164,2015-03-27 21:40:50,2015-03-27 21:42:01,正常完成
665,122.5.51.150,,,,,181,2015-03-27 21:44:48,2015-03-27 21:47:01,正常完成
666,80.215.199.146,,,,,172,2015-03-27 21:46:27,2015-03-27 21:47:27,正常完成
667,123.151.42.48,,,,,176,2015-03-27 21:44:58,2015-03-27 21:47:55,正常完成
668,101.226.125.15,,,,,144,2015-03-27 21:45:57,2015-03-27 21:47:58,正常完成
669,123.151.153.35,,,,,156,2015-03-27 21:44:39,2015-03-27 21:48:01,正常完成
670,183.60.52.5,,,,,183,2015-03-27 21:43:41,2015-03-27 21:48:02,正常完成
671,112.225.227.186,,,,,182,2015-03-27 21:47:41,2015-03-27 21:48:56,正常完成
672,39.77.112.210,,,,,167,2015-03-27 21:47:47,2015-03-27 21:49:29,正常完成
673,101.226.125.15,,,,,45,2015-03-27 21:47:45,2015-03-27 21:49:35,正常完成
674,120.204.200.42,,,,,178,2015-03-27 21:46:21,2015-03-27 21:49:52,正常完成
675,24.72.33.11,,,,,83,2015-03-27 21:47:33,2015-03-27 21:50:51,正常完成
676,101.226.114.166,,,,,59,2015-03-27 21:48:51,2015-03-27 21:51:05,正常完成
677,101.226.69.109,,,,,64,2015-03-27 21:49:06,2015-03-27 21:51:50,正常完成
678,101.226.69.112,,,,,49,2015-03-27 21:49:42,2015-03-27 21:52:16,正常完成
679,101.226.61.189,,,,,163,2015-03-27 21:52:52,2015-03-27 21:54:32,正常完成
680,117.34.102.34,,,,,159,2015-03-27 21:55:57,2015-03-27 21:57:35,正常完成
681,114.94.224.192,,,,,169,2015-03-27 21:57:35,2015-03-27 21:58:51,正常完成
682,101.226.61.181,,,,,168,2015-03-27 21:55:39,2015-03-27 22:00:00,正常完成
683,112.230.139.202,,,,,149,2015-03-27 21:57:34,2015-03-27 22:00:07,正常完成
684,113.57.244.123,,,,,171,2015-03-27 22:02:19,2015-03-27 22:03:43,正常完成
685,61.153.153.167,,,,,158,2015-03-27 22:03:39,2015-03-27 22:04:22,正常完成
686,121.57.191.15,,,,,166,2015-03-27 22:00:37,2015-03-27 22:04:34,正常完成
687,115.231.85.5,,,,,175,2015-03-27 22:02:45,2015-03-27 22:04:38,正常完成
688,114.249.55.75,,,,,184,2015-03-27 22:04:43,2015-03-27 22:05:12,正常完成
689,61.149.151.120,,,,,38,2015-03-27 22:03:25,2015-03-27 22:05:23,正常完成
690,219.146.67.199,,,,,52,2015-03-27 22:04:09,2015-03-27 22:05:44,正常完成
691,123.151.139.155,,,,,176,2015-03-27 22:03:46,2015-03-27 22:05:53,正常完成
692,183.195.181.2,,,,,191,2015-03-27 22:05:25,2015-03-27 22:06:45,正常完成
693,117.81.147.110,,,,,170,2015-03-27 22:04:00,2015-03-27 22:07:23,正常完成
694,123.151.42.47,,,,,185,2015-03-27 22:06:43,2015-03-27 22:07:36,正常完成
695,117.81.20.14,,,,,188,2015-03-27 22:07:06,2015-03-27 22:09:05,正常完成
696,123.151.42.50,,,,,168,2015-03-27 22:05:28,2015-03-27 22:09:48,正常完成
697,113.200.85.102,,,,,159,2015-03-27 22:08:34,2015-03-27 22:10:25,正常完成
698,124.67.20.156,,,,,158,2015-03-27 22:09:25,2015-03-27 22:11:43,正常完成
699,123.171.237.29,,,,,143,2015-03-27 22:10:32,2015-03-27 22:12:22,正常完成
700,223.85.132.35,,,,,168,2015-03-27 22:11:38,2015-03-27 22:13:38,正常完成
701,221.215.141.38,,,,,174,2015-03-27 22:11:56,2015-03-27 22:13:43,正常完成
702,123.151.12.152,,,,,169,2015-03-27 22:10:31,2015-03-27 22:14:14,正常完成
703,123.151.42.47,,,,,49,2015-03-27 22:13:42,2015-03-27 22:14:37,正常完成
704,123.151.139.155,,,,,62,2015-03-27 22:12:35,2015-03-27 22:14:52,正常完成
705,123.165.221.62,,,,,149,2015-03-27 22:13:26,2015-03-27 22:15:04,正常完成
706,59.173.140.58,,,,,158,2015-03-27 22:13:01,2015-03-27 22:15:07,正常完成
707,36.45.33.170,,,,,189,2015-03-27 22:13:11,2015-03-27 22:15:09,正常完成
708,182.126.199.19,,,,,52,2015-03-27 22:14:38,2015-03-27 22:15:11,正常完成
709,113.247.238.162,,,,,161,2015-03-27 22:13:37,2015-03-27 22:15:18,正常完成
710,117.175.88.49,,,,,169,2015-03-27 22:13:19,2015-03-27 22:15:25,正常完成
711,113.4.199.253,,,,,129,2015-03-27 22:13:16,2015-03-27 22:15:26,正常完成
712,101.226.125.17,,,,,174,2015-03-27 22:13:42,2015-03-27 22:16:13,正常完成
713,111.161.57.49,,,,,162,2015-03-27 22:15:35,2015-03-27 22:16:44,正常完成
714,42.103.118.244,,,,,144,2015-03-27 22:15:35,2015-03-27 22:17:10,正常完成
715,123.151.64.142,,,,,143,2015-03-27 22:14:51,2015-03-27 22:17:20,正常完成
716,111.161.57.49,,,,,46,2015-03-27 22:15:18,2015-03-27 22:18:01,正常完成
717,1.84.205.223,,,,,141,2015-03-27 22:16:40,2015-03-27 22:18:11,正常完成
718,121.57.191.59,,,,,52,2015-03-27 22:14:28,2015-03-27 22:18:37,正常完成
719,123.151.153.36,,,,,175,2015-03-27 22:16:18,2015-03-27 22:18:46,正常完成
720,36.48.21.80,,,,,167,2015-03-27 22:17:22,2015-03-27 22:19:22,正常完成
721,111.161.57.49,,,,,34,2015-03-27 22:18:20,2015-03-27 22:19:23,正常完成
722,183.136.147.198,,,,,167,2015-03-27 22:17:58,2015-03-27 22:19:39,正常完成
723,123.151.64.142,,,,,169,2015-03-27 22:16:48,2015-03-27 22:19:55,正常完成
724,116.114.20.72,,,,,64,2015-03-27 22:16:20,2015-03-27 22:20:00,正常完成
725,106.40.11.95,,,,,174,2015-03-27 22:18:01,2015-03-27 22:20:11,正常完成
726,123.151.12.154,,,,,79,2015-03-27 22:17:29,2015-03-27 22:20:30,正常完成
727,222.85.8.127,,,,,29,2015-03-27 22:19:02,2015-03-27 22:20:44,正常完成
728,111.161.57.49,,,,,46,2015-03-27 22:20:23,2015-03-27 22:20:51,正常完成
729,42.103.127.58,,,,,58,2015-03-27 22:17:39,2015-03-27 22:21:07,正常完成
730,106.38.217.75,,,,,45,2015-03-27 22:19:54,2015-03-27 22:22:26,正常完成
731,123.151.139.155,,,,,166,2015-03-27 22:18:17,2015-03-27 22:22:30,正常完成
732,119.165.27.183,,,,,57,2015-03-27 22:22:05,2015-03-27 22:22:47,正常完成
733,112.36.49.200,,,,,169,2015-03-27 22:20:16,2015-03-27 22:23:11,正常完成
734,163.177.69.13,,,,,161,2015-03-27 22:22:02,2015-03-27 22:23:15,正常完成
735,117.136.30.87,,,,,138,2015-03-27 22:22:04,2015-03-27 22:23:41,正常完成
736,123.151.64.143,,,,,179,2015-03-27 22:21:28,2015-03-27 22:23:51,正常完成
737,175.169.127.114,,,,,174,2015-03-27 22:21:30,2015-03-27 22:23:59,正常完成
738,36.22.40.226,,,,,178,2015-03-27 22:21:35,2015-03-27 22:24:05,正常完成
739,218.202.111.42,,,,,53,2015-03-27 22:21:33,2015-03-27 22:24:06,正常完成
740,183.246.89.57,,,,,158,2015-03-27 22:21:57,2015-03-27 22:24:06,正常完成
741,123.151.42.46,,,,,149,2015-03-27 22:23:45,2015-03-27 22:24:20,正常完成
742,123.151.139.155,,,,,160,2015-03-27 22:20:00,2015-03-27 22:24:29,正常完成
743,119.4.252.99,,,,,142,2015-03-27 22:23:53,2015-03-27 22:24:37,正常完成
744,180.153.81.159,,,,,166,2015-03-27 22:22:34,2015-03-27 22:24:55,正常完成
745,59.172.165.158,,,,,182,2015-03-27 22:22:16,2015-03-27 22:24:55,正常完成
746,123.151.42.49,,,,,120,2015-03-27 22:23:29,2015-03-27 22:25:20,正常完成
747,123.151.153.36,,,,,153,2015-03-27 22:23:44,2015-03-27 22:25:29,正常完成
748,111.161.57.49,,,,,165,2015-03-27 22:13:37,2015-03-27 22:25:29,正常完成
749,221.215.190.105,,,,,175,2015-03-27 22:24:14,2015-03-27 22:25:33,正常完成
750,101.226.61.181,,,,,169,2015-03-27 22:22:27,2015-03-27 22:25:39,正常完成
751,42.103.127.58,,,,,54,2015-03-27 22:24:44,2015-03-27 22:25:51,正常完成
752,123.151.139.155,,,,,160,2015-03-27 22:24:56,2015-03-27 22:26:12,正常完成
753,106.38.202.210,,,,,181,2015-03-27 22:24:43,2015-03-27 22:27:15,正常完成
754,183.136.147.198,,,,,167,2015-03-27 22:27:07,2015-03-27 22:27:36,正常完成
755,183.195.232.37,,,,,197,2015-03-27 22:26:05,2015-03-27 22:27:53,正常完成
756,123.151.12.152,,,,,167,2015-03-27 22:24:38,2015-03-27 22:28:28,正常完成
757,223.104.2.195,,,,,37,2015-03-27 22:26:33,2015-03-27 22:28:43,正常完成
758,113.4.199.253,,,,,22,2015-03-27 22:28:01,2015-03-27 22:28:57,正常完成
759,123.151.12.154,,,,,151,2015-03-27 22:20:59,2015-03-27 22:29:14,正常完成
760,1.27.88.139,,,,,165,2015-03-27 22:26:55,2015-03-27 22:29:20,正常完成
761,123.151.174.37,,,,,153,2015-03-27 22:27:28,2015-03-27 22:29:34,正常完成
762,112.37.82.226,,,,,65,2015-03-27 22:25:54,2015-03-27 22:29:44,正常完成
763,218.202.111.43,,,,,42,2015-03-27 22:29:20,2015-03-27 22:29:45,正常完成
764,163.177.69.13,,,,,156,2015-03-27 22:27:31,2015-03-27 22:29:47,正常完成
765,123.151.42.46,,,,,61,2015-03-27 22:29:12,2015-03-27 22:29:53,正常完成
766,113.4.199.253,,,,,117,2015-03-27 22:29:43,2015-03-27 22:30:04,正常完成
767,218.202.111.42,,,,,57,2015-03-27 22:28:14,2015-03-27 22:30:46,正常完成
768,123.151.42.46,,,,,143,2015-03-27 22:27:51,2015-03-27 22:30:46,正常完成
769,123.151.42.52,,,,,32,2015-03-27 22:29:20,2015-03-27 22:30:51,正常完成
770,219.146.67.202,,,,,64,2015-03-27 22:29:22,2015-03-27 22:31:02,正常完成
771,123.151.42.47,,,,,163,2015-03-27 22:28:57,2015-03-27 22:31:31,正常完成
772,123.151.139.156,,,,,72,2015-03-27 22:25:16,2015-03-27 22:31:33,正常完成
773,121.57.186.22,,,,,135,2015-03-27 22:30:23,2015-03-27 22:31:52,正常完成
774,123.151.12.154,,,,,129,2015-03-27 22:30:48,2015-03-27 22:32:03,正常完成
775,123.151.12.152,,,,,152,2015-03-27 22:29:12,2015-03-27 22:32:20,正常完成
776,60.31.47.37,,,,,155,2015-03-27 22:30:49,2015-03-27 22:32:21,正常完成
777,218.202.111.34,,,,,40,2015-03-27 22:31:47,2015-03-27 22:32:29,正常完成
778,101.226.125.15,,,,,153,2015-03-27 22:30:39,2015-03-27 22:32:50,正常完成
779,123.151.42.49,,,,,185,2015-03-27 22:26:59,2015-03-27 22:32:55,正常完成
780,218.202.111.34,,,,,52,2015-03-27 22:32:34,2015-03-27 22:33:04,正常完成
781,1.26.221.86,,,,,161,2015-03-27 22:28:02,2015-03-27 22:33:15,正常完成
782,101.226.61.190,,,,,161,2015-03-27 22:30:07,2015-03-27 22:33:36,正常完成
783,218.202.111.34,,,,,164,2015-03-27 22:31:10,2015-03-27 22:33:47,正常完成
784,123.151.42.57,,,,,155,2015-03-27 22:31:13,2015-03-27 22:33:58,正常完成
785,222.74.69.66,,,,,164,2015-03-27 22:31:56,2015-03-27 22:33:58,正常完成
786,218.202.111.34,,,,,73,2015-03-27 22:31:10,2015-03-27 22:34:02,正常完成
787,123.151.139.155,,,,,76,2015-03-27 22:32:40,2015-03-27 22:34:26,正常完成
788,123.151.38.94,,,,,41,2015-03-27 22:32:36,2015-03-27 22:34:27,正常完成
789,106.35.137.239,,,,,137,2015-03-27 22:32:20,2015-03-27 22:34:31,正常完成
790,121.57.184.91,,,,,55,2015-03-27 22:33:16,2015-03-27 22:34:56,正常完成
791,123.151.42.50,,,,,175,2015-03-27 22:32:47,2015-03-27 22:34:59,正常完成
792,123.151.153.35,,,,,170,2015-03-27 22:30:56,2015-03-27 22:35:15,正常完成
793,223.104.3.200,,,,,129,2015-03-27 22:28:47,2015-03-27 22:35:20,正常完成
794,27.193.67.58,,,,,160,2015-03-27 22:34:06,2015-03-27 22:35:55,正常完成
795,123.151.42.47,,,,,150,2015-03-27 22:33:44,2015-03-27 22:35:56,正常完成
796,117.136.14.237,,,,,144,2015-03-27 22:33:26,2015-03-27 22:36:07,正常完成
797,221.206.115.182,,,,,157,2015-03-27 22:34:20,2015-03-27 22:36:18,正常完成
798,112.37.82.226,,,,,76,2015-03-27 22:34:24,2015-03-27 22:36:25,正常完成
799,219.146.67.200,,,,,138,2015-03-27 22:35:12,2015-03-27 22:37:06,正常完成
800,112.90.72.50,,,,,129,2015-03-27 22:34:46,2015-03-27 22:37:12,正常完成
801,123.235.230.192,,,,,77,2015-03-27 22:36:19,2015-03-27 22:37:32,正常完成
802,218.202.111.34,,,,,46,2015-03-27 22:39:08,2015-03-27 22:39:44,正常完成
803,123.235.230.192,,,,,84,2015-03-27 22:38:46,2015-03-27 22:39:46,正常完成
804,101.226.125.113,,,,,43,2015-03-27 22:37:41,2015-03-27 22:40:09,正常完成
805,113.5.2.38,,,,,152,2015-03-27 22:38:34,2015-03-27 22:40:48,正常完成
806,1.87.208.98,,,,,160,2015-03-27 22:37:24,2015-03-27 22:41:14,正常完成
807,111.37.1.55,,,,,153,2015-03-27 22:39:36,2015-03-27 22:43:07,正常完成
808,123.151.38.94,,,,,71,2015-03-27 22:41:04,2015-03-27 22:43:11,正常完成
809,123.151.12.154,,,,,174,2015-03-27 22:41:03,2015-03-27 22:43:13,正常完成
810,36.102.84.230,,,,,147,2015-03-27 22:40:28,2015-03-27 22:43:15,正常完成
811,121.57.184.91,,,,,76,2015-03-27 22:43:27,2015-03-27 22:44:06,正常完成
812,106.40.5.70,,,,,66,2015-03-27 22:41:47,2015-03-27 22:44:19,正常完成
813,101.226.125.113,,,,,182,2015-03-27 22:43:07,2015-03-27 22:45:26,正常完成
814,123.151.139.156,,,,,129,2015-03-27 22:43:36,2015-03-27 22:45:41,正常完成
815,218.202.111.34,,,,,184,2015-03-27 22:40:35,2015-03-27 22:45:43,正常完成
816,112.6.131.54,,,,,43,2015-03-27 22:42:38,2015-03-27 22:46:00,正常完成
817,42.100.7.121,,,,,182,2015-03-27 22:43:36,2015-03-27 22:46:19,正常完成
818,123.151.42.48,,,,,152,2015-03-27 22:44:27,2015-03-27 22:46:26,正常完成
819,101.226.125.109,,,,,183,2015-03-27 22:44:27,2015-03-27 22:47:23,正常完成
820,123.151.12.154,,,,,146,2015-03-27 22:45:37,2015-03-27 22:48:25,正常完成
821,115.202.232.110,,,,,170,2015-03-27 22:46:08,2015-03-27 22:48:37,正常完成
822,182.137.167.130,,,,,17,2015-03-27 22:46:01,2015-03-27 22:48:49,正常完成
823,116.114.7.47,,,,,170,2015-03-27 22:46:52,2015-03-27 22:48:59,正常完成
824,1.26.32.81,,,,,84,2015-03-27 22:47:12,2015-03-27 22:49:38,正常完成
825,121.31.254.44,,,,,41,2015-03-27 22:47:47,2015-03-27 22:49:47,正常完成
826,218.202.111.42,,,,,146,2015-03-27 22:48:31,2015-03-27 22:50:10,正常完成
827,219.146.67.199,,,,,162,2015-03-27 22:48:31,2015-03-27 22:50:27,正常完成
828,115.202.232.110,,,,,56,2015-03-27 22:48:51,2015-03-27 22:50:40,正常完成
829,123.151.42.57,,,,,158,2015-03-27 22:47:12,2015-03-27 22:51:25,正常完成
830,101.226.89.14,,,,,171,2015-03-27 22:49:49,2015-03-27 22:51:42,正常完成
831,123.151.38.94,,,,,184,2015-03-27 22:46:43,2015-03-27 22:51:46,正常完成
832,223.85.132.35,,,,,144,2015-03-27 22:50:33,2015-03-27 22:52:28,正常完成
833,123.151.38.94,,,,,161,2015-03-27 22:52:19,2015-03-27 22:53:38,正常完成
834,223.104.5.202,,,,,153,2015-03-27 22:54:21,2015-03-27 22:54:55,正常完成
835,123.151.42.47,,,,,144,2015-03-27 22:53:47,2015-03-27 22:55:37,正常完成
836,101.226.61.193,,,,,56,2015-03-27 22:52:55,2015-03-27 22:55:49,正常完成
837,123.151.153.36,,,,,132,2015-03-27 22:55:11,2015-03-27 22:56:52,正常完成
838,123.151.42.47,,,,,144,2015-03-27 22:56:31,2015-03-27 22:57:16,正常完成
839,101.86.10.218,,,,,170,2015-03-27 22:55:45,2015-03-27 22:57:41,正常完成
840,101.226.89.193,,,,,182,2015-03-27 22:56:26,2015-03-27 22:57:49,正常完成
841,123.235.54.101,,,,,192,2015-03-27 22:55:25,2015-03-27 22:58:16,正常完成
842,218.56.233.188,,,,,167,2015-03-27 22:56:34,2015-03-27 22:58:29,正常完成
843,101.226.125.113,,,,,143,2015-03-27 22:56:44,2015-03-27 22:58:30,正常完成
844,175.167.144.161,,,,,135,2015-03-27 22:56:18,2015-03-27 22:58:46,正常完成
845,111.20.240.147,,,,,170,2015-03-27 22:57:55,2015-03-27 22:59:37,正常完成
846,106.38.253.32,,,,,147,2015-03-27 22:58:25,2015-03-27 23:00:07,正常完成
847,113.124.6.80,,,,,168,2015-03-27 22:57:26,2015-03-27 23:00:24,正常完成
848,60.209.125.150,,,,,65,2015-03-27 22:59:39,2015-03-27 23:01:16,正常完成
849,211.100.3.12,,,,,46,2015-03-27 22:59:49,2015-03-27 23:01:18,正常完成
850,101.226.125.108,,,,,29,2015-03-27 23:01:10,2015-03-27 23:01:33,正常完成
851,111.161.57.49,,,,,160,2015-03-27 22:57:17,2015-03-27 23:01:47,正常完成
852,39.188.253.235,,,,,180,2015-03-27 23:00:39,2015-03-27 23:03:16,正常完成
853,180.106.212.167,,,,,157,2015-03-27 23:01:43,2015-03-27 23:03:31,正常完成
854,101.226.125.114,,,,,158,2015-03-27 23:02:07,2015-03-27 23:04:44,正常完成
855,123.151.176.198,,,,,161,2015-03-27 23:03:39,2015-03-27 23:05:33,正常完成
856,110.17.236.202,,,,,184,2015-03-27 23:02:21,2015-03-27 23:05:38,正常完成
857,106.38.129.24,,,,,168,2015-03-27 23:04:37,2015-03-27 23:06:08,正常完成
858,114.222.123.154,,,,,163,2015-03-27 23:04:12,2015-03-27 23:06:13,正常完成
859,221.11.61.34,,,,,55,2015-03-27 23:04:44,2015-03-27 23:06:42,正常完成
860,221.222.77.142,,,,,138,2015-03-27 23:06:37,2015-03-27 23:08:44,正常完成
861,123.151.42.50,,,,,67,2015-03-27 23:06:11,2015-03-27 23:09:19,正常完成
862,121.56.250.149,,,,,73,2015-03-27 23:07:32,2015-03-27 23:09:22,正常完成
863,113.5.2.44,,,,,158,2015-03-27 23:08:30,2015-03-27 23:09:44,正常完成
864,123.151.42.52,,,,,184,2015-03-27 23:09:06,2015-03-27 23:10:10,正常完成
865,101.226.68.141,,,,,36,2015-03-27 23:07:44,2015-03-27 23:10:49,正常完成
866,124.129.98.71,,,,,175,2015-03-27 23:08:26,2015-03-27 23:11:02,正常完成
867,123.116.114.81,,,,,183,2015-03-27 23:08:54,2015-03-27 23:11:28,正常完成
868,218.202.111.34,,,,,174,2015-03-27 23:08:43,2015-03-27 23:12:18,正常完成
869,118.211.50.231,,,,,29,2015-03-27 23:10:48,2015-03-27 23:12:40,正常完成
870,123.151.42.50,,,,,61,2015-03-27 23:12:04,2015-03-27 23:12:52,正常完成
871,117.88.19.177,,,,,152,2015-03-27 23:11:56,2015-03-27 23:13:09,正常完成
872,1.183.18.32,,,,,55,2015-03-27 23:10:16,2015-03-27 23:13:25,正常完成
873,101.226.68.141,,,,,68,2015-03-27 23:11:55,2015-03-27 23:13:26,正常完成
874,111.202.1.78,,,,,175,2015-03-27 23:11:26,2015-03-27 23:13:33,正常完成
875,113.5.2.33,,,,,149,2015-03-27 23:12:36,2015-03-27 23:14:31,正常完成
876,123.151.42.50,,,,,146,2015-03-27 23:12:27,2015-03-27 23:15:15,正常完成
877,101.226.68.141,,,,,41,2015-03-27 23:14:49,2015-03-27 23:15:46,正常完成
878,113.5.2.33,,,,,155,2015-03-27 23:15:14,2015-03-27 23:15:51,正常完成
879,219.134.109.214,,,,,50,2015-03-27 23:14:28,2015-03-27 23:16:02,正常完成
880,1.183.18.32,,,,,41,2015-03-27 23:16:12,2015-03-27 23:17:20,正常完成
881,218.202.111.34,,,,,44,2015-03-27 23:14:04,2015-03-27 23:17:21,正常完成
882,120.40.76.147,,,,,61,2015-03-27 23:15:48,2015-03-27 23:17:23,正常完成
883,123.151.42.50,,,,,17,2015-03-27 23:17:25,2015-03-27 23:18:09,正常完成
884,101.226.125.117,,,,,56,2015-03-27 23:14:53,2015-03-27 23:18:34,正常完成
