答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,状态
101,106.91.182.17,,,,,61,2015-03-22 12:41:31,2015-03-22 12:52:48,正常完成
102,111.161.26.11,,,,,179,2015-03-22 12:52:19,2015-03-22 12:54:21,正常完成
103,106.91.182.17,,,,,154,2015-03-22 12:53:30,2015-03-22 12:56:54,正常完成
104,117.136.36.43,,,,,39,2015-03-22 12:57:34,2015-03-22 13:00:22,正常完成
105,101.226.125.109,,,,,165,2015-03-22 13:00:06,2015-03-22 13:01:24,正常完成
106,117.136.36.43,,,,,44,2015-03-22 13:00:47,2015-03-22 13:01:40,正常完成
107,101.226.125.119,,,,,149,2015-03-22 13:00:53,2015-03-22 13:02:52,正常完成
108,101.226.125.119,,,,,147,2015-03-22 12:59:35,2015-03-22 13:05:55,正常完成
109,101.226.125.109,,,,,131,2015-03-22 13:04:00,2015-03-22 13:06:10,正常完成
110,221.179.140.171,,,,,20,2015-03-22 13:05:11,2015-03-22 13:06:30,正常完成
111,223.81.192.203,,,,,171,2015-03-22 13:06:42,2015-03-22 13:08:40,正常完成
112,114.86.11.77,,,,,136,2015-03-22 13:07:02,2015-03-22 13:09:11,正常完成
113,123.151.64.142,,,,,65,2015-03-22 13:09:41,2015-03-22 13:11:11,正常完成
114,153.119.200.202,,,,,166,2015-03-22 13:09:35,2015-03-22 13:12:22,正常完成
115,112.224.67.210,,,,,164,2015-03-22 13:12:27,2015-03-22 13:14:58,正常完成
116,101.226.125.116,,,,,179,2015-03-22 13:14:38,2015-03-22 13:17:12,正常完成
117,183.61.33.74,,,,,133,2015-03-22 13:16:20,2015-03-22 13:20:37,正常完成
118,211.140.4.168,,,,,40,2015-03-22 13:18:19,2015-03-22 13:21:12,正常完成
119,116.234.18.210,,,,,43,2015-03-22 13:20:23,2015-03-22 13:22:09,正常完成
120,211.140.4.168,,,,,179,2015-03-22 13:22:40,2015-03-22 13:24:29,正常完成
121,123.151.42.46,,,,,126,2015-03-22 13:22:54,2015-03-22 13:25:26,正常完成
122,140.75.157.27,,,,,184,2015-03-22 13:24:21,2015-03-22 13:26:26,正常完成
123,101.226.61.181,,,,,173,2015-03-22 13:24:32,2015-03-22 13:27:24,正常完成
124,222.133.9.82,,,,,55,2015-03-22 13:27:01,2015-03-22 13:28:15,正常完成
125,101.226.125.19,,,,,142,2015-03-22 13:26:34,2015-03-22 13:28:17,正常完成
126,101.226.125.18,,,,,132,2015-03-22 13:26:55,2015-03-22 13:29:00,正常完成
127,117.136.8.96,,,,,161,2015-03-22 13:28:16,2015-03-22 13:30:53,正常完成
128,111.193.231.211,,,,,105,2015-03-22 13:32:32,2015-03-22 13:33:49,正常完成
129,153.119.192.103,,,,,169,2015-03-22 13:35:01,2015-03-22 13:38:25,正常完成
130,123.151.139.156,,,,,108,2015-03-22 13:36:21,2015-03-22 13:38:34,正常完成
131,78.26.151.186,,,,,171,2015-03-22 13:36:45,2015-03-22 13:40:14,正常完成
132,117.136.38.173,,,,,56,2015-03-22 13:34:44,2015-03-22 13:40:53,正常完成
133,180.166.37.196,,,,,81,2015-03-22 13:42:19,2015-03-22 13:44:41,正常完成
134,39.71.95.197,,,,,49,2015-03-22 13:43:22,2015-03-22 13:45:21,正常完成
135,27.223.5.242,,,,,78,2015-03-22 13:43:44,2015-03-22 13:46:13,正常完成
136,122.4.80.74,,,,,160,2015-03-22 13:45:00,2015-03-22 13:46:38,正常完成
137,58.56.176.3,,,,,173,2015-03-22 13:48:44,2015-03-22 13:49:55,正常完成
138,78.26.151.122,,,,,161,2015-03-22 13:47:53,2015-03-22 13:50:00,正常完成
139,183.46.68.54,,,,,41,2015-03-22 13:49:40,2015-03-22 13:50:26,正常完成
140,58.56.176.3,,,,,173,2015-03-22 13:50:39,2015-03-22 13:51:12,正常完成
141,112.224.65.225,,,,,173,2015-03-22 13:48:46,2015-03-22 13:51:27,正常完成
142,112.224.65.10,,,,,182,2015-03-22 13:48:58,2015-03-22 13:51:33,正常完成
143,106.38.217.67,,,,,151,2015-03-22 13:50:43,2015-03-22 13:52:34,正常完成
144,27.223.5.242,,,,,66,2015-03-22 13:51:59,2015-03-22 13:52:39,正常完成
145,101.226.61.193,,,,,63,2015-03-22 13:49:05,2015-03-22 13:53:31,正常完成
146,117.136.9.241,,,,,138,2015-03-22 13:52:46,2015-03-22 13:54:52,正常完成
147,101.226.102.237,,,,,175,2015-03-22 13:52:14,2015-03-22 13:56:05,正常完成
148,219.146.83.84,,,,,138,2015-03-22 13:53:46,2015-03-22 13:56:11,正常完成
149,117.79.232.2,,,,,179,2015-03-22 13:55:42,2015-03-22 13:57:20,正常完成
150,101.226.125.108,,,,,164,2015-03-22 13:55:55,2015-03-22 13:57:31,正常完成
151,218.58.86.137,,,,,143,2015-03-22 13:53:33,2015-03-22 13:57:47,正常完成
152,117.136.9.241,,,,,132,2015-03-22 13:56:11,2015-03-22 13:58:01,正常完成
153,60.209.123.66,,,,,155,2015-03-22 13:55:44,2015-03-22 13:58:13,正常完成
154,101.226.125.120,,,,,61,2015-03-22 13:54:38,2015-03-22 13:58:23,正常完成
155,117.136.40.139,,,,,59,2015-03-22 13:55:33,2015-03-22 13:58:26,正常完成
156,119.166.130.85,,,,,120,2015-03-22 13:57:40,2015-03-22 13:58:38,正常完成
157,71.95.193.231,,,,,51,2015-03-22 13:56:13,2015-03-22 13:58:38,正常完成
158,106.39.222.105,,,,,55,2015-03-22 13:56:46,2015-03-22 13:58:38,正常完成
159,112.224.67.172,,,,,44,2015-03-22 13:57:17,2015-03-22 13:59:12,正常完成
160,219.146.82.70,,,,,170,2015-03-22 13:57:15,2015-03-22 13:59:22,正常完成
161,122.4.76.131,,,,,162,2015-03-22 13:58:40,2015-03-22 14:00:36,正常完成
162,218.56.71.59,,,,,126,2015-03-22 13:59:28,2015-03-22 14:00:45,正常完成
163,182.40.32.19,,,,,129,2015-03-22 13:58:03,2015-03-22 14:01:04,正常完成
164,101.226.125.118,,,,,66,2015-03-22 13:59:08,2015-03-22 14:01:28,正常完成
165,119.165.1.199,,,,,184,2015-03-22 14:02:45,2015-03-22 14:04:50,正常完成
166,27.210.77.61,,,,,114,2015-03-22 14:03:51,2015-03-22 14:05:31,正常完成
167,27.210.77.61,,,,,120,2015-03-22 14:06:07,2015-03-22 14:06:48,正常完成
168,124.128.244.231,,,,,138,2015-03-22 14:04:00,2015-03-22 14:07:51,正常完成
169,112.96.161.75,,,,,62,2015-03-22 14:05:53,2015-03-22 14:08:47,正常完成
170,221.3.35.49,,,,,153,2015-03-22 14:08:35,2015-03-22 14:09:40,正常完成
171,101.226.89.191,,,,,50,2015-03-22 14:07:18,2015-03-22 14:10:11,正常完成
172,219.133.40.16,,,,,162,2015-03-22 14:08:35,2015-03-22 14:10:38,正常完成
173,101.226.125.116,,,,,162,2015-03-22 14:09:01,2015-03-22 14:12:08,正常完成
174,112.225.79.252,,,,,132,2015-03-22 14:11:02,2015-03-22 14:12:34,正常完成
175,223.104.2.195,,,,,148,2015-03-22 14:10:35,2015-03-22 14:12:40,正常完成
176,211.140.18.105,,,,,165,2015-03-22 14:10:23,2015-03-22 14:13:01,正常完成
177,211.140.18.104,,,,,52,2015-03-22 14:10:15,2015-03-22 14:13:13,正常完成
178,58.48.201.196,,,,,51,2015-03-22 14:12:21,2015-03-22 14:14:22,正常完成
179,110.148.168.222,,,,,174,2015-03-22 14:12:54,2015-03-22 14:14:40,正常完成
180,101.226.125.17,,,,,150,2015-03-22 14:15:49,2015-03-22 14:17:59,正常完成
